,TOTAL CONSUMPTION,TEMP,HIGH_TEMP,LOW_TEMP,RAIN_COND,Temp_Dif
3261,1220242.0,28.2,32.8,23.8,0,8.999999999999996
3262,1237040.0,28.4,32.1,24.9,0,7.200000000000003
3263,1201232.0,26.1,29.2,23.7,0,5.5
3264,1098979.0,23.7,26.3,21.9,1,4.400000000000002
3265,1043589.0,22.8,27.7,20.3,1,7.399999999999999
3266,1061702.0,23.1,28.1,19.9,1,8.200000000000003
3267,1094104.0,25.6,29.7,20.3,0,9.399999999999999
3268,1172144.0,27.4,30.7,24.3,0,6.399999999999999
3269,1140669.0,26.9,30.8,23.0,0,7.800000000000001
3270,1163142.0,26.7,31.2,22.2,0,9.0
3271,1165812.0,26.2,31.8,21.2,1,10.600000000000001
3272,1043602.0,24.1,27.9,21.3,1,6.599999999999998
3273,1078027.0,24.3,28.7,20.7,0,8.0
3274,1051505.0,23.3,25.5,20.9,1,4.600000000000001
3275,1014671.0,22.7,25.9,19.9,1,6.0
3276,1057256.0,23.4,27.0,20.2,0,6.800000000000001
3277,1094472.0,25.3,29.3,20.7,0,8.600000000000001
3278,1106451.0,25.7,30.6,21.2,0,9.400000000000002
3279,1083695.0,29.0,33.5,23.8,0,9.7
3280,1111174.0,29.7,33.6,25.4,0,8.200000000000003
3281,1089454.0,29.6,33.3,26.9,0,6.399999999999999
3282,1106869.0,29.1,32.1,26.6,0,5.5
3283,1080576.0,29.3,32.3,26.3,0,5.9999999999999964
3284,1099668.0,29.6,33.3,25.2,0,8.099999999999998
3285,1088839.0,29.3,33.7,23.6,0,10.100000000000001
3286,1110586.0,29.7,33.8,24.3,0,9.499999999999996
3287,1105514.0,29.7,32.8,27.2,0,5.599999999999998
