TOTAL CONSUMPTION
968.356
935.816
945.613
941.418
943.596
967.333
941.919
943.095
941.939
957.156
984.622
933.728
967.879
948.125
938.163
973.938
934.605
901.981
940.945
946.128
945.308
952.204
925.804
944.903
953.846
943.641
954.729
899.494
935.612
925.15
949.327
950.616
